metabolite,mean,std
Cholesterol in Large VLDL,0.1034110996722684,0.0487814991900507
Cholesteryl Esters in Large VLDL,0.054005008269203,0.0237086939414797
Free Cholesterol in Large VLDL,0.0494060847111084,0.0257487652348438
Triglycerides in Large VLDL,0.1796824792743793,0.1001841383781337
Concentration of Medium VLDL Particles,3.621037929464611e-05,1.2493930480352257e-05
Total Lipids in Medium VLDL,0.6045142419398445,0.2134995755418223
Phospholipids in Medium VLDL,0.1342110538674705,0.0482621200867895
Cholesterol in Medium VLDL,0.1762580639504158,0.0657935049953385
Cholesteryl Esters in Medium VLDL,0.0941365485615506,0.0383899152275982
Free Cholesterol in Medium VLDL,0.082121512732184,0.0297377562970781
Triglycerides in Medium VLDL,0.2940451197366183,0.1246775741806738
Concentration of Small VLDL Particles,4.110109999392984e-05,1.32623252243617e-05
Total Lipids in Small VLDL,0.4305389420025313,0.134154184741021
Phospholipids in Small VLDL,0.1010290247661618,0.0304864837882314
Cholesterol in Small VLDL,0.1617776343253217,0.0517769806924712
Cholesteryl Esters in Small VLDL,0.1010567508567743,0.0331219204368173
Free Cholesterol in Small VLDL,0.0607208837966614,0.01905544023466
Triglycerides in Small VLDL,0.167732289932536,0.0641386991801277
Concentration of Very Small VLDL Particles,5.571349755675609e-05,1.3787312040557042e-05
Total Lipids in Very Small VLDL,0.3645435604737343,0.0895013471121727
Phospholipids in Very Small VLDL,0.1067030089555086,0.0267488998200133
Cholesterol in Very Small VLDL,0.1861030633117275,0.0497578563323522
Cholesteryl Esters in Very Small VLDL,0.1276020060671695,0.0354799994469702
Free Cholesterol in Very Small VLDL,0.0585010683471864,0.0149529702457054
Triglycerides in Very Small VLDL,0.0717374867373922,0.0221786738821072
Concentration of IDL Particles,0.0003114409498968,7.654512108562081e-05
Total Lipids in IDL,1.2469178171784627,0.2933425158589946
Phospholipids in IDL,0.2961848953355135,0.0672718857057081
Cholesterol in IDL,0.8480440416637128,0.2173201234682949
Cholesteryl Esters in IDL,0.626737633487374,0.1616762798228692
Free Cholesterol in IDL,0.2213064305120159,0.0569902480022233
Triglycerides in IDL,0.1026888433091447,0.0271001004912331
Concentration of Large LDL Particles,0.0007533086149144,0.0001808619096658
Total Lipids in Large LDL,1.6234632052096334,0.3863036645320428
Phospholipids in Large LDL,0.3636304556065983,0.0838301494800148
Cholesterol in Large LDL,1.159668332315128,0.2903962740252854
Cholesteryl Esters in Large LDL,0.8589388101979536,0.2140645733904266
Free Cholesterol in Large LDL,0.3007294992132164,0.0784778968213841
Triglycerides in Large LDL,0.1001644891850856,0.0265841623019209
Concentration of Medium LDL Particles,0.0002995279351189,7.653288846083236e-05
Total Lipids in Medium LDL,0.6396614099343693,0.1689330893103874
Phospholipids in Medium LDL,0.1667014450612085,0.0429705428778475
Cholesterol in Medium LDL,0.4389036333236679,0.1198729487474398
Cholesteryl Esters in Medium LDL,0.3165780016725993,0.0893991459858574
Free Cholesterol in Medium LDL,0.1223256364947464,0.0329837972262337
Triglycerides in Medium LDL,0.0340563185087987,0.0107939135018589
Concentration of Small LDL Particles,0.0001724725543978,3.806506396489744e-05
Total Lipids in Small LDL,0.2918288131642406,0.067174048906131
Phospholipids in Small LDL,0.0904983088821901,0.019393404304646
Cholesterol in Small LDL,0.1852737952650969,0.0452719009107353
Cholesteryl Esters in Small LDL,0.1347390891366761,0.0338285477340537
Free Cholesterol in Small LDL,0.0505347002827248,0.0128670037155041
Triglycerides in Small LDL,0.0160567037683986,0.0059622054013038
Concentration of Very Large HDL Particles,0.0002263882495356,9.261422820796086e-05
Total Lipids in Very Large HDL,0.1615140817002914,0.0780316904886455
Phospholipids in Very Large HDL,0.0749840248421778,0.0437051924466042
Cholesterol in Very Large HDL,0.079239740542048,0.0341571921590703
Cholesteryl Esters in Very Large HDL,0.0566006467976556,0.027290811853886
Free Cholesterol in Very Large HDL,0.0226390929005705,0.0071759620525093
Triglycerides in Very Large HDL,0.0072903197663135,0.002753085798579
Concentration of Large HDL Particles,0.0013783469943152,0.0007556632483862
Total Lipids in Large HDL,0.6403538809744173,0.3190321388496843
Phospholipids in Large HDL,0.320183517719921,0.1500786860011221
Cholesterol in Large HDL,0.2894578277136251,0.1657762535901438
Cholesteryl Esters in Large HDL,0.2236868763592813,0.1291828015952446
Free Cholesterol in Large HDL,0.0657709449455059,0.0369551911636188
Triglycerides in Large HDL,0.0307125331982882,0.0122136830729072
Concentration of Medium HDL Particles,0.0039192668934502,0.0009322716318036
Total Lipids in Medium HDL,1.0520672396751976,0.2265081228415909
Phospholipids in Medium HDL,0.4944665468209877,0.1010808404144001
Cholesterol in Medium HDL,0.5018971334120643,0.1233968306792854
Cholesteryl Esters in Medium HDL,0.4131856712903028,0.0993127543629016
Free Cholesterol in Medium HDL,0.0887114585902604,0.0246834416626171
Triglycerides in Medium HDL,0.055703550461594,0.0193981057513976
Concentration of Small HDL Particles,0.0098985444950012,0.001336371727646
Total Lipids in Small HDL,1.1848821063313102,0.1615190343363996
Phospholipids in Small HDL,0.6758735166611933,0.0951030182515848
Cholesterol in Small HDL,0.4542275163569684,0.0624741367498451
Cholesteryl Esters in Small HDL,0.3366137751429404,0.0482589247805059
Free Cholesterol in Small HDL,0.1176137570228784,0.0166467697646901
Triglycerides in Small HDL,0.0547810704299198,0.0181860928547109
Phospholipids to Total Lipids in Chylomicrons and Extremely Large VLDL percentage,15.468440089104268,4.206438132538881
Cholesterol to Total Lipids in Chylomicrons and Extremely Large VLDL percentage,30.092766487113938,12.755895892746633
Cholesteryl Esters to Total Lipids in Chylomicrons and Extremely Large VLDL percentage,17.01837487229206,9.272946064206185
Free Cholesterol to Total Lipids in Chylomicrons and Extremely Large VLDL percentage,13.074392358423273,4.809283343475663
Triglycerides to Total Lipids in Chylomicrons and Extremely Large VLDL percentage,54.43879421454675,14.02159844557256
Phospholipids to Total Lipids in Very Large VLDL percentage,18.391412366753617,2.4446281227697964
Cholesterol to Total Lipids in Very Large VLDL percentage,28.94794009941727,7.331856428319931
Cholesteryl Esters to Total Lipids in Very Large VLDL percentage,17.01410991464625,6.036946020522656
Free Cholesterol to Total Lipids in Very Large VLDL percentage,11.933830427550962,1.6583954168257595
Triglycerides to Total Lipids in Very Large VLDL percentage,52.660647706604095,7.6002136761335715
Phospholipids to Total Lipids in Large VLDL percentage,19.22718050276702,2.977599614089781
Cholesterol to Total Lipids in Large VLDL percentage,30.099366395802377,4.196151000234729
Cholesteryl Esters to Total Lipids in Large VLDL percentage,16.174077902317315,3.3559587438851257
Free Cholesterol to Total Lipids in Large VLDL percentage,13.92528825943972,1.2828131234130442
Triglycerides to Total Lipids in Large VLDL percentage,50.67345273600309,5.439576651913024
Phospholipids to Total Lipids in Medium VLDL percentage,22.17637596464056,1.7908268821990982
Cholesterol to Total Lipids in Medium VLDL percentage,29.649603136935625,6.726252286520283
Cholesteryl Esters to Total Lipids in Medium VLDL percentage,16.02594554147833,5.053286116463164
Free Cholesterol to Total Lipids in Medium VLDL percentage,13.623657835695068,1.7304374754088745
Triglycerides to Total Lipids in Medium VLDL percentage,48.17402120400028,8.41115914973253
Phospholipids to Total Lipids in Small VLDL percentage,23.61335272188904,2.048432343910971
Cholesterol to Total Lipids in Small VLDL percentage,37.73743210300777,4.708887755386046
Cholesteryl Esters to Total Lipids in Small VLDL percentage,23.48580464202319,2.80295112388176
Free Cholesterol to Total Lipids in Small VLDL percentage,14.251627507217732,2.1824097300031813
Triglycerides to Total Lipids in Small VLDL percentage,38.64921409830339,6.643737134969943
Phospholipids to Total Lipids in Very Small VLDL percentage,29.25297662182834,0.8667698122687025
Cholesterol to Total Lipids in Very Small VLDL percentage,50.94018035333554,4.716292043349626
Cholesteryl Esters to Total Lipids in Very Small VLDL percentage,34.922641127552495,4.26034483632746
Free Cholesterol to Total Lipids in Very Small VLDL percentage,16.017538248752583,0.6112052620174017
Triglycerides to Total Lipids in Very Small VLDL percentage,19.80684367162832,4.236855267852512
Phospholipids to Total Lipids in IDL percentage,23.82323401286573,0.8924549244594996
Cholesterol to Total Lipids in IDL percentage,67.65897972953138,2.9575829186414286
Cholesteryl Esters to Total Lipids in IDL percentage,49.98774643738617,2.403490219330108
Free Cholesterol to Total Lipids in IDL percentage,17.67123419588776,1.131096721214346
Triglycerides to Total Lipids in IDL percentage,8.517787112315162,2.5172730800487995
Phospholipids to Total Lipids in Large LDL percentage,22.451120929082187,0.7909048919429934
Cholesterol to Total Lipids in Large LDL percentage,71.1973776538546,1.855866403936549
Cholesteryl Esters to Total Lipids in Large LDL percentage,52.75872083767891,1.3149714725836066
Free Cholesterol to Total Lipids in Large LDL percentage,18.438656547662404,1.3120847560522897
Triglycerides to Total Lipids in Large LDL percentage,6.351500749051838,1.8254671825039983
Phospholipids to Total Lipids in Medium LDL percentage,26.120716542673293,0.8143309577610713
